#queryName	queryLength	firstQueryPos	lastQueryPos	hitName	hitLength	firstHitPos	lastHitPos	frame	hitDescription	numberOfHits	coverage	identity	evalue	score	hspLength	relIdentity
4004_g	3023	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4005_g	2025	385	2019	Q7RSB5	540	77	481	+1	Polyprenyl synthetase, putative	30	0.56	173	2e-84	319	302	0.58
4006_g	555	55	474	B3KZK6	213	41	184	+1	Rab5c GTPase, putative	30	0.71	121	9e-58	227	152	0.80
4007_g	1224	778	1017	A5K9U5	618	191	270	+1	Putative uncharacterized protein	6	0.13	45	1e-19	103	80	0.57
4008_g	350	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4009_g	2007	202	1494	C5HXB5	784	62	484	+1	Cysteine-rich surface protein (Fragment) 	30	0.58	93	6e-10	72	452	0.21
4010_g	60	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4011_g	1110	808	1107	B3L7X0	402	308	402	+1	Putative uncharacterized protein	4	0.25	55	3e-24	118	100	0.55
4012_g	588	94	585	Q8IIC3	465	31	194	+1	Endoplasmic reticulum oxidoreductin, putative 	30	0.35	105	2e-57	226	165	0.64
4013_g	174	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4014_g	4212	100	2508	O77306	1338	12	855	+1	Serine/threonine protein kinase, putative 	30	0.28	231	2e-129	469	369	0.63
4015_g	5067	3010	3939	Q8IJL1	1928	1488	1754	+1	Conserved Plasmodium protein	5	0.17	92	7e-16	93	319	0.29
4016_g	111	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4017_g	248	4	204	D4BVJ3	121	14	114	+1	Putative uncharacterized protein	10	0.55	34	7e-11	71	67	0.51
4018_g	2053	2	2047	Q8I404	782	64	778	+2	Putative uncharacterized protein	5	0.39	107	6e-42	178	302	0.36
4019_g	1248	1	1200	Q8IFP3	450	36	435	+1	Alpha-tubulin ii	30	0.89	395	0	773	400	0.99
4020_g	3213	4	3207	Q8IJ85	1190	277	1189	+1	Dcp1 homologue, putative	30	0.16	110	1e-50	207	191	0.58
4021_g	903	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4022_g	78	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4023_g	294	1	264	Q8IJH6	118	1	88	+1	PfMNL-3 CISD1-like iron-sulfur protein, 	30	0.75	70	2e-42	176	88	0.80
4024_g	2904	379	2895	Q7RNZ7	826	93	826	+1	4-hydroxy-3-methylbut-2-en-1-yl diphosphate 	30	1.03	488	0	941	850	0.58
4025_g	5388	4525	5091	B3LC46	1473	1254	1438	+1	Putative uncharacterized protein	8	0.13	78	6e-29	136	190	0.42
4026_g	1458	4	1416	Q7RDX4	791	322	790	+1	Putative uncharacterized protein PY05295 	13	0.60	187	9e-100	369	475	0.40
4027_g	2643	766	2637	Q8I060	1378	167	748	+1	High molecular weight rhoptry protein-2 	13	0.30	123	2e-46	193	415	0.30
4028_g	3055	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4029_g	162	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4030_g	1782	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4031_g	2079	517	2043	Q4Y2J3	548	32	539	+1	Putative uncharacterized protein	30	0.93	287	1e-160	572	511	0.57
4032_g	254	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4033_g	1545	1	1536	Q7RNV3	572	83	570	+1	Putative uncharacterized protein PY01712 	18	0.90	300	2e-172	610	512	0.59
4034_g	2622	7	2490	Q4XW95	886	148	886	+1	Putative uncharacterized protein (Fragment) 	30	0.49	261	2e-150	539	436	0.60
4035_g	2901	283	2835	Q4Z2Y2	756	1	739	+1	RNA helicase , putative (Fragment)	10	0.54	185	4e-64	252	412	0.45
4036_g	4179	319	4176	Q8IDC8	1218	42	1218	+1	Putative uncharacterized protein	30	0.82	475	0	868	996	0.48
4037_g	3735	1483	3027	Q8IDI3	1318	445	991	+1	Putative uncharacterized protein	30	0.42	298	3e-111	409	557	0.54
4038_g	4149	622	2967	Q4XWT7	788	13	778	+1	Putative uncharacterized protein (Fragment) 	30	0.74	229	9e-99	368	585	0.40
4039_g	1790	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4040_g	186	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4041_g	135	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4042_g	1935	346	957	C0H4A4	199	4	188	+1	Putative uncharacterized protein	30	1.03	73	1e-24	120	205	0.36
4043_g	2208	193	2193	Q4XN24	602	16	600	+1	GTP-binding protein, putative	30	1.12	370	0	647	672	0.56
4044_g	2799	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4045_g	372	217	372	F4D5R2	468	29	76	-1	Putative uncharacterized protein	6	0.10	30	1e-07	60	48	0.63
4046_g	315	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4047_g	57	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4048_g	1461	226	1395	Q8I578	656	78	478	+1	Conserved Plasmodium protein	9	0.62	140	3e-68	265	406	0.35
4049_g	1059	58	1050	B3LCY8	364	46	361	+1	Putative uncharacterized protein	6	0.93	147	9e-63	246	338	0.44
4050_g	870	142	868	Q8IDD3	574	50	327	+1	Glutamate--tRNA ligase, putative	30	0.41	130	1e-70	245	237	0.55
4051_g	1068	16	462	Q8IDD3	574	364	513	+1	Glutamate--tRNA ligase, putative	30	0.26	68	4e-29	134	151	0.46
4052_g	297	85	291	C5L7Y5	127	1	71	+1	Putative uncharacterized protein (Fragment) 	4	0.56	27	1e-06	57	71	0.39
4053_g	94	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4054_g	6218	876	3656	Q7R8V7	1498	541	1462	+3	Putative uncharacterized protein PY07113 	6	0.48	198	2e-43	185	722	0.28
4055_g	4584	757	4545	A5K466	1399	241	1389	+1	Helicase, putative	30	0.78	690	0	1169	1091	0.64
4056_g	1905	115	1764	Q8IJR2	628	28	590	+1	Conserved Plasmodium protein	30	0.90	258	4e-135	487	566	0.46
4057_g	1704	1	378	Q7REB0	779	290	407	+1	Asparagine-rich protein	7	0.16	36	3e-07	62	126	0.29
4058_g	729	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4059_g	330	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4060_g	246	40	201	Q8I508	68	11	64	+1	Conserved Plasmodium protein	6	0.79	28	7e-10	68	54	0.52
4061_g	1548	61	1545	Q4YS41	516	8	515	+1	Queuine tRNA ribosyltransferase, putative 	30	1.04	326	3e-177	627	536	0.61
4062_g	2328	613	2325	Q8IJM7	530	18	509	+1	Conserved Plasmodium protein	30	0.57	204	7e-110	404	303	0.68
4063_g	1026	196	849	Q8IJM8	310	35	269	+1	Conserved Plasmodium protein	28	0.77	77	4e-27	127	239	0.33
4064_g	2349	601	2073	B3L4G0	842	338	796	+1	Membrane skeletal protein, putative	25	0.28	142	3e-59	236	235	0.61
4065_g	159	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4066_g	72	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4067_g	1090	28	612	C0H4F2	706	35	235	+1	Protein phosphatase, putative	6	0.28	108	2e-61	241	201	0.54
4068_g	429	1	396	Q8I3R0	189	47	178	+1	40S ribosomal protein S9, putative	30	0.70	121	1e-60	236	132	0.92
4069_g	1269	631	1257	A5K9F9	491	265	475	+1	Putative uncharacterized protein	7	0.43	113	4e-61	241	212	0.54
4070_g	5407	764	5314	Q8IJQ2	2379	1153	2289	+2	Conserved protein	30	0.19	212	5e-99	369	457	0.47
4071_g	174	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4072_g	4550	6	4550	C4M610	1813	168	1698	+3	Viral A-type inclusion protein repeat, 	30	0.91	355	2e-45	191	1644	0.22
4073_g	546	55	534	Q7RNL6	1643	591	750	+1	Arginyl-tRNA synthetase, putative (Fragment) 	17	0.10	142	3e-75	285	160	0.89
4074_g	2553	1	2529	A5JZZ2	1044	292	1043	+1	Putative uncharacterized protein	20	0.57	395	0	758	590	0.67
4075_g	183	1	117	C6KSW4	84	1	39	+1	Putative uncharacterized protein	5	0.46	25	2e-08	63	39	0.65
4076_g	2019	64	1671	A5K1W2	602	15	572	+1	Eukaryotic translation initiation factor 	30	0.93	347	0	677	560	0.62
4077_g	4809	1	4797	Q8IKI3	1461	1	1458	+1	Ion channel, putative	30	0.47	330	0	648	692	0.48
4078_g	1713	1	1710	I2FKD8	546	1	546	+1	ATP synthase subunit alpha	30	1.04	477	0	891	570	0.84
4079_g	2877	511	2811	Q4XRZ1	895	186	876	+1	Putative uncharacterized protein (Fragment) 	12	0.95	207	1e-49	204	846	0.25
4080_g	249	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4081_g	1470	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4082_g	1200	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4083_g	1881	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4084_g	1944	613	1839	Q8IKU5	1495	370	731	+1	Putative uncharacterized protein	5	0.28	148	3e-36	159	413	0.36
4085_g	582	22	576	A5K3M6	1526	1124	1308	+1	Putative uncharacterized protein	4	0.12	87	1e-40	171	185	0.48
4086_g	522	1	516	Q7RSU5	282	114	277	+1	Putative uncharacterized protein PY00258 	5	0.62	70	5e-16	88	174	0.41
4087_g	3480	1	2691	Q8IHR0	915	1	816	+1	Conserved Plasmodium protein	21	1.03	283	6e-80	305	946	0.30
4088_g	1195	11	880	Q7RLF1	396	75	354	+2	Putative uncharacterized protein PY02594 	30	0.76	151	1e-67	262	302	0.50
4089_g	876	1	870	B3L803	265	1	264	+1	Putative uncharacterized protein	5	1.12	112	8e-35	152	296	0.38
4090_g	558	1	543	C6KSQ4	1828	1	217	+1	Nucleoside diphosphate kinase, putative 	5	0.12	115	2e-44	182	217	0.53
4091_g	1557	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4092_g	3354	1	3345	Q8ILD9	1504	16	1501	+1	Leucine-rich repeat protein 5, LRR5	30	0.50	381	1e-176	626	748	0.51
4093_g	212	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4094_g	1032	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4095_g	940	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4096_g	984	1	909	Q0ZAF1	314	1	290	+1	SNARE protein	30	0.96	174	1e-75	288	303	0.58
4097_g	132	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4098_g	1080	1	1074	A5K712	380	1	380	+1	Putative uncharacterized protein	9	0.59	116	4e-57	227	226	0.52
4099_g	948	40	945	Q4XP64	387	20	387	+1	Putative uncharacterized protein	14	0.95	177	7e-88	329	368	0.49
4100_g	216	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4101_g	2367	268	2247	C5HXC7	795	88	750	+1	Cysteine-rich surface protein (Fragment) 	30	0.88	168	5e-31	142	701	0.24
4102_g	1017	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4103_g	1069	287	511	H0ZHH6	296	100	174	-1	Uncharacterized protein (Fragment)	23	0.25	60	7e-28	130	75	0.80
4104_g	306	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4105_g	525	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4106_g	423	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4107_g	540	373	537	H0ZG39	1449	138	192	-1	Uncharacterized protein (Fragment)	30	0.04	41	3e-14	82	55	0.75
4108_g	3390	1	3384	Q8I233	1167	1	1164	+1	Replication factor c protein, putative 	30	0.73	450	0	795	855	0.53
4109_g	111	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4110_g	1104	82	1047	Q8I2N0	353	15	336	+1	Phosphatidylserine decarboxylase	30	0.91	196	8e-115	419	322	0.61
4111_g	876	139	804	B3L2V0	278	47	268	+1	PK9_2640w Cytochrome c oxidase subunit,putative 	30	0.80	204	9e-111	405	222	0.92
4112_g	2964	2179	2961	A5K364	264	16	264	+1	Putative uncharacterized protein	30	1.00	181	5e-85	322	264	0.69
4113_g	132	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4114_g	1317	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4115_g	1278	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4116_g	1050	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4117_g	2130	151	2121	A5KA40	645	1	645	+1	Putative uncharacterized protein	3	1.05	243	2e-114	419	677	0.36
4118_g	2794	1763	2716	Q54UA9	932	230	569	+2	Probable serine/threonine-protein kinase 	3	0.37	84	9e-09	68	341	0.25
4119_g	2646	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4120_g	3369	163	1869	Q4YSF0	568	1	558	+1	Regulatory protein, putative (Fragment) 	30	1.01	399	0	770	575	0.70
4121_g	1878	931	1875	Q8IAN2	728	413	728	+1	Filament assembling protein, putative 	30	0.43	238	9e-113	413	316	0.76
4122_g	2094	28	1395	Q8I0V1	590	29	565	+1	Preprocathepsin c, putative	30	0.94	255	3e-135	488	552	0.47
4123_g	3366	280	3348	B3L484	919	9	919	+1	Phosphatidylinositol 3-and 4-kinase, putative 	30	0.57	428	0	814	522	0.82
4124_g	20	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4125_g	342	1	126	C0H4R4	245	1	42	+1	Alpha/beta hydrolase, putative	1	0.17	25	2e-06	56	42	0.60
4126_g	5601	925	3525	Q8ISI8	1894	346	1161	+1	RNA-binding protein Puf1	30	0.27	361	0	695	517	0.70
4127_g	924	1	921	B3L2U9	307	1	307	+1	Serine/threonine-protein phosphatase	30	1.00	234	1e-145	521	307	0.77
4128_g	1974	1162	1971	Q8I2N3	595	345	595	+1	Putative uncharacterized protein	20	0.46	118	2e-38	166	275	0.43
4129_g	468	1	300	G4XF29	198	18	166	+1	Mutant PFC0460w	7	0.75	44	5e-13	78	149	0.30
4130_g	1698	17	457	A7SM83	302	8	302	-3	Predicted protein (Fragment)	30	0.42	33	7e-14	84	126	0.27
4131_g	243	1	237	O77355	600	25	105	+1	Pre-mRNA splicing factor, putative	6	0.15	48	1e-13	80	92	0.53
4132_g	768	238	765	F0VHC4	256	69	244	+1	Putative uncharacterized protein	28	0.69	111	5e-63	246	176	0.64
4133_g	2151	1	2142	Q8I3T1	716	1	714	+1	Eukaryotictranslation initiation factor 	30	1.00	544	0	1176	714	0.77
4134_g	666	61	660	Q4Z058	185	19	184	+1	Nascent polypeptide associated complex 	30	1.09	80	4e-31	139	202	0.40
4135_g	2205	91	2199	C6KT56	776	87	776	+1	Putative uncharacterized protein	7	0.96	294	1e-125	456	746	0.40
4136_g	1092	343	1077	Q8I5S3	278	30	274	+1	Conserved Plasmodium protein	11	0.88	103	1e-50	205	246	0.42
4137_g	4071	1513	4059	Q8IK08	1425	536	1414	+1	DNAJ protein, putative	6	0.30	132	2e-42	181	421	0.32
4138_g	747	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4139_g	1455	1	1449	G0ZIA6	593	1	575	+1	Metacaspase 1	30	0.98	218	1e-95	356	581	0.38
4140_g	441	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4141_g	4272	22	4245	B9ZSI1	1823	16	1544	+1	Putative uncharacterized protein	8	0.32	176	2e-58	234	578	0.31
4142_g	1557	649	1554	Q8IAM7	410	157	410	+1	Putative uncharacterized protein	3	0.26	54	6e-20	104	106	0.51
4143_g	4415	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4144_g	3507	2980	3501	O97243	628	458	624	+1	Putative uncharacterized protein	30	0.28	83	6e-34	152	177	0.47
4145_g	1428	820	1362	A5K576	426	145	323	+1	Putative uncharacterized protein	27	0.42	95	5e-47	194	181	0.53
4146_g	5206	55	3681	Q8IAP1	5910	23	1302	+1	Putative uncharacterized protein	9	0.05	133	1e-69	271	269	0.50
4147_g	357	77	214	E7LBC5	184	109	158	+2	Kinetoplast DNA-associated protein, putative 	2	0.25	29	3e-06	56	46	0.64
4148_g	816	1	588	Q8IJZ2	202	1	196	+1	Conserved Plasmodium protein	5	0.97	141	2e-57	228	196	0.72
4149_g	1164	649	1090	I3LTS7	573	25	182	+1	Uncharacterized protein (Fragment)	30	0.21	73	1e-45	159	123	0.60
4150_g	534	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4151_g	255	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4152_g	354	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4153_g	126	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4154_g	1627	296	1624	Q8IJK7	1197	453	878	+2	Conserved Plasmodium membrane protein 	30	0.40	281	1e-135	489	478	0.59
4155_g	132	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4156_g	1032	178	963	B3L7B7	284	2	249	+1	Putative uncharacterized protein	9	0.92	139	1e-54	219	262	0.54
4157_g	2397	748	2382	C6KTC6	665	119	663	+1	Putative uncharacterized protein	30	0.82	362	0	788	545	0.67
4158_g	228	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4159_g	3382	779	3199	O97237	1139	368	1130	+2	GRIP and coiled-coil domain-containing 	7	0.74	282	3e-79	303	840	0.34
4160_g	540	25	459	Q4XLZ3	175	5	148	+1	Putative uncharacterized protein	4	0.84	43	7e-09	65	147	0.30
4161_g	1161	1	1155	Q7RP51	422	1	421	+1	Immunoglobulin-binding protein 1	30	1.00	204	2e-98	364	421	0.49
4162_g	1197	136	1185	B3L0D2	384	32	376	+1	3-demethylubiquinone-9 3-methyltransferase-like 	30	0.93	149	2e-69	268	358	0.42
4163_g	420	109	300	A5K1Z0	387	321	384	+1	Putative uncharacterized protein	3	0.17	30	4e-09	65	64	0.47
4164_g	1428	505	1125	Q4Z6T0	663	297	491	+1	Putative uncharacterized protein	30	0.32	86	6e-34	150	209	0.42
4165_g	3564	2146	3042	O96134	2485	1911	2213	+1	Protein kinase, putative	30	0.12	81	3e-14	87	310	0.27
4166_g	552	1	453	Q4YBH8	122	1	121	+1	Putative uncharacterized protein (Fragment) 	5	1.24	58	2e-15	86	151	0.39
4167_g	1779	853	1761	Q8MVQ8	278	6	263	+1	Dual-specificity phosphatase	22	1.10	142	1e-62	246	305	0.47
4168_g	2010	1	1575	Q4XX79	575	3	518	+1	MRNA capping enzyme, putative (Fragment) 	11	0.94	219	9e-96	357	543	0.41
4169_g	189	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4170_g	4608	1069	3720	Q7YXS0	1331	322	1258	+1	MB2 (Fragment)	30	0.22	196	4e-102	379	298	0.66
4171_g	1623	1	1620	I2FKD9	532	1	532	+1	ATP synthase subunit beta	30	1.02	474	0	865	540	0.88
4172_g	2559	946	2556	Q8IDQ2	726	190	726	+1	Kelch protein, putative	30	0.74	429	0	836	537	0.80
4173_g	136	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4174_g	1983	1195	1941	Q8I449	611	400	606	+1	UDP-N-acetyl glucosamine:UMP antiporter 	13	0.41	82	6e-23	115	249	0.33
4175_g	2142	412	1839	Q8I448	740	133	636	+1	Putative uncharacterized protein	10	0.69	323	0	650	507	0.64
4176_g	2265	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4177_g	1173	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4178_g	768	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4179_g	2731	1109	2725	A5K6K5	626	103	625	+2	Putative uncharacterized protein	19	0.86	303	9e-158	563	540	0.57
4180_g	714	1	711	B3L1H2	208	1	208	+1	Nonclathrin coat protein zeta2 subunit,putative 	30	1.14	145	1e-59	234	238	0.61
4181_g	2652	40	2583	B3L1H1	1367	25	944	+1	Protein kinase, putative	30	0.41	250	3e-118	432	564	0.45
4182_g	737	63	731	A5K7S5	2061	90	1208	+3	CTRP adhesive protein (Invasive stage), 	24	0.11	70	6e-21	106	223	0.32
4183_g	4496	183	4469	Q0WYJ9	1875	67	1875	+3	Circumsporozoite protein/thrombospondin-related 	30	0.74	575	0	936	1391	0.42
4184_g	429	158	409	I1ETB9	295	190	294	-3	Uncharacterized protein	25	0.28	40	5e-14	82	84	0.48
4185_g	954	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4186_g	1413	124	1410	Q8IJG5	566	82	565	+1	Conserved Plasmodium protein	7	0.88	253	4e-100	370	500	0.51
4187_g	267	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4188_g	4782	1	4776	Q8II80	1570	1	1556	+1	ATP-dependent phosphofructokinase, putative 	30	0.25	245	7e-135	488	386	0.64
4189_g	4926	2287	4488	Q968T7	3610	423	958	+1	Chloroquine resistance marker protein 	13	0.06	83	2e-37	164	204	0.41
4190_g	3894	2041	3051	G6C1K2	1100	661	999	+1	Segregation protein SMC	27	0.32	86	4e-08	67	353	0.25
4191_g	4750	511	1908	Q7RRD0	2340	1792	2295	+1	Putative uncharacterized protein PY00801 	30	0.23	186	2e-74	287	538	0.35
4192_g	369	36	359	F9CXK1	388	254	383	+3	Fructose-bisphosphate aldolase	30	0.29	49	2e-15	86	112	0.44
4193_g	450	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4194_g	2058	214	1584	Q4W2L3	604	165	602	+1	R envelope protein	30	0.79	179	2e-79	302	475	0.38
4195_g	963	7	876	G3XDD7	1790	1481	1780	+1	Gag-pol polyprotein	30	0.17	121	3e-50	204	301	0.41
4196_g	3330	1763	2743	A9V6I3	1207	222	419	-3	Predicted protein	17	0.16	42	1e-09	71	197	0.22
4197_g	4354	79	3702	A5K3X0	6833	142	1378	+1	Putative uncharacterized protein	30	0.19	572	0	1010	1299	0.45
4198_g	3579	7	2007	Q6F492	653	1	634	+1	Acyl-CoA:diacylglycerol acyltransferase 	30	0.50	245	2e-147	529	326	0.76
4199_g	624	307	621	Q8I5I8	204	101	204	+1	Glideosome-associated protein 45	12	0.51	77	1e-30	138	105	0.74
4200_g	804	1	618	A5K028	317	56	271	+1	Putative uncharacterized protein	4	0.68	115	2e-47	194	216	0.54
4201_g	1275	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4202_g	2901	19	2898	A5JZW4	606	4	606	+1	Putative uncharacterized protein	7	0.19	70	5e-21	109	114	0.62
4203_g	507	1	366	B3LBQ3	162	1	116	+1	60S ribosomal protein L24, putative	30	0.75	84	5e-41	171	122	0.69
4204_g	585	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4205_g	1332	343	1299	Q9BJJ9	432	86	432	+1	Enoyl-ACP reductase (Fragment)	30	0.80	245	5e-137	493	347	0.71
4206_g	243	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4207_g	1143	1	1134	Q8IJR6	380	1	377	+1	Conserved Plasmodium protein	30	0.99	281	2e-167	593	378	0.75
4208_g	2205	1	1809	Q7RPU3	772	1	746	+1	Putative uncharacterized protein PY01362 	9	0.90	260	2e-97	362	691	0.38
4209_g	231	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4210_g	1107	19	1086	Q8IJA9	367	13	367	+1	Adenosine deaminase, putative	30	0.97	204	2e-117	427	356	0.58
4211_g	474	169	432	B3LAA4	292	186	273	+1	Heme/steroid binding domain containing 	30	0.30	55	9e-29	130	88	0.63
4212_g	454	101	448	A5K0W5	263	146	261	+2	Peptide chain release factor 1, putative 	30	0.44	69	2e-35	153	116	0.60
4213_g	516	223	501	Q8ILH8	304	62	154	+1	Peptide chain release factor 1, putative 	30	0.31	51	1e-22	110	93	0.55
4214_g	174	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4215_g	2661	4	2628	Q8IJZ6	1190	297	1183	+1	Putative uncharacterized protein	1	0.83	243	2e-65	256	984	0.25
4216_g	1042	164	1039	Q8IJZ5	3013	2728	3013	+2	Conserved Plasmodium membrane protein 	30	0.10	188	5e-98	363	292	0.65
4217_g	3717	262	3681	B3LCB6	1223	31	1212	+1	Asparagine-rich antigen, putative	12	0.38	186	3e-73	283	461	0.41
4218_g	2463	658	2458	Q7RFI2	854	125	716	+1	Drosophila melanogaster BcDNA.GH02833 	30	0.24	117	7e-55	221	206	0.57
4219_g	297	1	198	Q8IBN8	899	813	884	+1	DEAD box helicase, putative	8	0.08	44	7e-16	88	72	0.62
4220_g	732	64	702	A5K0M1	242	22	233	+1	Putative uncharacterized protein	5	0.88	91	3e-46	190	213	0.43
4221_g	885	4	882	Q8I5T1	558	272	558	+1	Conserved Plasmodium protein	19	0.53	149	6e-86	322	293	0.51
4222_g	876	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4223_g	222	1	222	Q8I5T2	205	26	99	+1	Glutathione peroxidase	30	0.36	50	5e-22	108	74	0.68
4224_g	2922	403	2892	B3L5W8	923	31	914	+1	Putative uncharacterized protein	24	0.58	240	1e-118	433	538	0.45
4225_g	300	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4226_g	2904	193	2817	A5K544	3979	3123	3950	+1	Adenylate and Guanylate cyclase catalytic 	30	0.13	429	0	871	507	0.85
4227_g	153	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4228_g	822	67	819	Q8I3X7	269	20	269	+1	Putative uncharacterized protein	30	0.93	176	5e-93	345	251	0.71
4229_g	1077	22	1062	Q7RFS5	285	43	284	+1	A-kinase anchoring protein 18 gamma	4	0.42	67	2e-24	119	121	0.56
4230_g	4827	853	4794	C6KT54	1616	290	1533	+1	Putative uncharacterized protein	30	0.72	586	0	1033	1158	0.51
4231_g	2898	1045	2790	C0H488	768	136	725	+1	Putative uncharacterized protein	7	0.11	45	1e-18	101	85	0.53
4232_g	2412	763	2259	Q8I5S1	576	80	575	+1	Conserved Plasmodium protein	30	0.87	294	1e-175	622	500	0.59
4233_g	4884	121	4851	B3L585	1361	24	1349	+1	Transcription elongation factor, putative 	12	0.39	184	2e-76	293	529	0.35
4234_g	105	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4235_g	1338	1	1335	Q8I2Y5	388	1	388	+1	RNA binding protein, putative	30	1.15	253	9e-120	436	446	0.57
4236_g	2646	1	2631	Q8IAL6	1011	1	1011	+1	Mannose-6-phosphate isomerase, putative 	30	0.49	177	5e-75	288	492	0.36
4237_g	828	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4238_g	387	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4239_g	438	53	213	H0Z7P2	248	113	175	-3	Uncharacterized protein (Fragment)	30	0.14	30	3e-15	68	34	0.89
4240_g	480	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4241_g	306	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4242_g	555	160	297	H0YT31	231	186	231	+1	Uncharacterized protein (Fragment)	30	0.20	36	2e-11	73	46	0.79
4243_g	114	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4244_g	4137	58	4104	Q8I380	1422	74	1345	+1	Putative uncharacterized protein	6	0.29	130	2e-42	181	419	0.32
4245_g	4280	789	3425	Q8IEC2	1070	182	1033	+3	Putative uncharacterized protein	15	0.55	358	0	662	592	0.61
4246_g	177	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
4247_g	3755	1077	1862	Q8I255	1152	388	661	+3	Putative uncharacterized protein	5	0.24	122	1e-42	181	274	0.45
4248_g	4922	201	4817	Q8I413	1708	72	1667	+3	Chromosome condensation protein, putative 	30	0.68	506	0	779	1166	0.44
4249_g	200	2	199	B8X4H0	250	56	121	-2	Cytochrome c oxidase subunit 3 (Fragment) 	30	0.26	65	8e-28	127	66	0.99
4250_g	2274	1141	2238	Q8HNV4	376	11	376	+1	Cytochrome b (Fragment)	30	0.97	361	0	724	366	0.99
